Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
394460,RESTAURANT UNIVERSITAIRE EL WAHAT CITE EL AMEL ZRIG GABES,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE EL WAHAT,GABES
394470,MABROUK HAMDI CITE EL ARICH KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MABROUK HAMDI,KASSERINE
394490,MABROUK HAMDI CITE EL ARICH KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MABROUK HAMDI,KASSERINE
394510,MONGI SEDIRI CITE EZZOUHOUR GHARDIMAOU JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONGI SEDIRI,JENDOUBA
394520,AMEN SERVICE GAZ S/S AGIL CARBURATION AUTO RTE DE GABES KM4 CEINTURE CITE EL HABIB SFAX,GPL C,GPL C,GPL C,CITE EL HABIB - SFAX GPL,SFAX
394530,HOUCINE AYARI AV.7NOVEMBRE ROUHIA SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HOUCINE AYARI,KASSERINE
394540,CITE UNIVERSITAIRE IBN KHALDOUN SIDI BOUZID CITE UNIVERS IBN KHALDOUN B.P 368 SIDI BOUZID,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE IBN KHALDOUN,SIDI BOUZID
394550,MONCEF LAGHA S/S AGIL TEBOULBOU GABES,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONCEF LAGHA,GABES
394560,MAHER EL GHALI 292.AV HABIB BOURGUIBA TEBOULBA MONASTIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHER EL GHALI,MONASTIR
394570,KAMEL DINARI CITE ESSAADA METLAOUI GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,KAMEL DINARI,GAFSA
394580,SOTRAMA S/S AGIL BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOTRAMA,MEDENINE
394590,ANOUAR BEN MOHAMED JERY RTE DE TATAOUINE BEN GUERDANE OUEST MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ANOUAR BEN MOHAMED JERY,TATAOUINE
394600,CHAKER BEN BELGACEM DHAOUI 29.RUE MED ALI CITE EL KHADRA SIDI BOUZID,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,CHAKER BEN BELGACEM DHAOUI,SIDI BOUZID
394610,BRAHIM BEL MABROUK KEBILI,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,BRAHIM BEL MABROUK,KEBILI
394640,HAMMADI M'HAT MENZEL HAMZA - BOUMARDES (GOUVERN DE MAHDIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HAMMADI M'HAT,MAHDIA
394650,MAHER EL GHALI 292.AV HABIB BOURGUIBA TEBOULBA MONASTIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHER EL GHALI,MONASTIR
394660,LYCEE SECONDAIRE ENNADHOUR LYCEE SECONDAIRE ENNADHOUR ZAGHOUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE ENNADHOUR,ZAGHOUAN
394680,RACHIDA BENT AYADI TRABOLSIA TARF CHNA BOUARADA SILIANA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,RACHIDA BENT AYADI TRABOLSIA,ZAGHOUAN
394710,SOTRAMA S/S AGIL BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOTRAMA,MEDENINE
394720,RESTAURANT UNIVERSITAIRE DE MEDENINE RESTAURANT UNIVERS EL FJA_BOUGRARA MEDENINE,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE DE MEDENINE,MEDENINE
394730,DORCAS NUTRITION N93 CITE EL MONA NOUVELLE MEDINA BEN AROUS,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,DORCAS NUTRITION,BEN AROUS
394740,SOCIETE EL WAFA DE DISTRIBUTION DE GAZ AVENUE HABIB THAMEUR SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL WAFA DE DISTRIBUTION DE GAZ,KASSERINE
394760,RESTAURANT UNIVERSITAIRE IBN ROCHD KAIROUAN CAMPUS UNIVERSITAIRE RAKADA KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE IBN ROCHD,KAIROUAN
394770,CASERNE DJEBEL AMMAR DTION DE TRANSM CASERNE BAB SAADOUN EL OMRANE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,CASERNE BAB SAADOUN EL OMRANE,ARIANA
394780,"HOTEL ITROPECA -BEACH SIDI REZIG, RUE DE L'ECOLE 2033 BEN AROUS",HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL ITROPECA,JENDOUBA
394790,ISET JENDOUBA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,ISET JENDOUBA,JENDOUBA
394800,SOCIETE EL WAFA DE DISTRIBUTION DE GAZ AVENUE HABIB THAMEUR SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL WAFA DE DISTRIBUTION DE GAZ,KASSERINE
394810,MATEC INTERNATIONAL S.A.R.L ZONE FRANCHE SITE 2 MENZEL BOURGUIBA BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,MATEC INTERNATIONAL S.A.R.L,BIZERTE
394810,METEC INTERNATIONAL S.A.R.L ZONE FRANCHE SITE 2 MENZEL BOURGUIBA BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,MATEC INTERNATIONAL S.A.R.L,BIZERTE
394821,LYCEE DAR EL AMEN KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,LYCEE DAR EL AMEN,KAIROUAN
394830,REGIMENT DU QUARTIER GENERAL EL OMRANE TUNIS,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,REGIMENT DU QUARTIER GENERAL EL OMRANE,TUNIS
394860,CHARFI MED EL HEDI STATION AGIL CARBURATION AUTO ROUTE DE HAMMA TOZEUR,GPL C,GPL C,GPL C,TOZEUR ,TOZEUR
394870,DOTATION STOCK STATION SERVICE AGIL CITE OLYMPIQUE TUNIS,REVENDEVEUR,REVENDEVEUR,REVENDEVEUR,DOTATION STOCK STATION SERVICE AGIL CITE OLYMPIQUE TUNIS,MAHDIA
394890,ISMAIL BEN OTHMAN KARAOUILI S/S ESSO GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ISMAIL BEN OTHMAN KARAOUILI,GAFSA
394900,"CHAKER BEN BELGACEM DHAOUI 29,RUE MED ALI CITE EL KHADRA SIDI BOUZID",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,CHAKER BEN BELGACEM DHAOUI,SIDI BOUZID
394910,MOHAMED MNIF BP 90 SIDI ABBES SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED MNIF,SFAX
394930,SOCIETE AMEN SERVICE GAZ ROUTE DE L'AEROPORT KM 1.5 SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AMEN SERVICE GAZ,SFAX
394940,ISMAIL BEN OTHMAN KARAOUILI S/S ESSO GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ISMAIL BEN OTHMAN KARAOUILI,GAFSA
394960,HASSEN BOULARES RUE TAREK IBN ZIAD CARTHAGE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HASSEN BOULARES,TUNIS
395020,CENTRE MILITAIRE LES CANINES CENTRE MILITAIRE LES CANINES NADHOUR.BIZERTE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,CENTRE MILITAIRE CANIN,BIZERTE
395060,RESTAURANT UNIVERSITAIRE KEBILI,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE KEBILI,KEBILI
395080,RIDHA LAGHA SIDI DAOAD GABES,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,RIDHA LAGHA,GABES
395090,FOYER UNIVERSITAIRE KEBILI,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER UNIVERSITAIRE KEBILI,KEBILI
395100,MAHMOUD BEN MOHAMED MOKHTAR AMMARI SIDI ALI BEN KHALIFA JERISSA LE KEF,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHMOUD BEN MOHAMED MOKHTAR AMMARI,LE KEF
395120,MAHMOUD BEN MOHAMED MOKHTAR AMMARI CITE ALI BEN KHALIFA JERISSA LE KEF,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHMOUD BEN MOHAMED MOKHTAR AMMARI,LE KEF
395140,AMOR BEN BOUKTHIR BELGACEM KAOUALA HACHICHINA GHRAIBA SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AMOR BEN BOUKTHIR BELGACEM KAOUALA,SFAX
395150,SOCIETE EL BARAKA CITE EL AMEL Z.I METLAOUI GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL BARAKA,GAFSA
395160,SOCIETE EL BARAKA CITE EL AMEL Z.I METLAOUI GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL BARAKA,GAFSA
395170,SOCIETE DE SERVICE NAMANI S/S AGIL MERETH ROUTE DE GABES KM.2 MERETH EL ARGOUB,GPL C,GPL C,GPL C,MARETH,GABES
395190,EL AZIZ EL ALOUI 14 RUE 103 CITE ETTADHAMEN TUNIS,REVENDEVEUR,REVENDEVEUR,REVENDEVEUR,EL AZIZ EL ALOUI,ARIANA
395210,HOTEL LAICO ZONE TOURISTIQUE AGHIR DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL LAICO,MEDENINE
395220,ABDELLATIF LAHBIB 10.RUE IBN JAZZAR EL ALIA BIZERTE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ABDELLATIF LAHBIB,BIZERTE
395240,71 REGIMENT DE TRANSMISSION OUED ELLIL,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,71 REGIMENT DE TRANSMISSION OUED ELLIL,ARIANA
395270,LYCEE TEJEROUINE LYCEE TEJEROUINE LE KEF,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE TEJEROUINE,LE KEF
