Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
395950,CENTRE DE FORMATION ET DE RECYCLAGE AGRICOLE JAMMEL,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CENTRE DE FORMATION ET DE RECYCLAGE AGRICOLE JAMMEL,MONASTIR
395970,CITE UNIVERSITAIRE LES JASMINS DE SFAX ROUTE AEROPORT KM5,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE LES JASMINS DE SFAX,SFAX
395980,ALI ZAABOUTI ECHABIBA GAFSA NORD,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ALI ZAABOUTI,GAFSA
396010,FRANCE TUNISIE INVESTISSEMENT HOTEL AL KANTARA- THALASSA ZONE TOURISTIQUE AGHIR- MIDOUNE- DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL AL KANTARA- THALASSA,MEDENINE
396020,CITE UNIVERSITAIRE OKBA RAKADA - KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE OKBA RAKADA,KAIROUAN
396080,"MOKHTAR BEN NACEUR AVENUE,DE L'INDEPENDANCE CHORBANE",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOKHTAR BEN NACEUR,MAHDIA
396090,"MOKHTAR BEN NACEUR AVENUE,DE L'INDEPENDANCE CHORBANE",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOKHTAR BEN NACEUR,MAHDIA
396100,MOHAMED BEN JILANI BELAID CITE OUVRIERE ZARZOUNA BIZERTE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED BEN JILANI BELAID,BIZERTE
396110,LYCEE AHD JEDID CITE HEDI BEN HASSINE JENDOUBA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE AHD JEDID CITE HEDI BEN HASSINE,JENDOUBA
396130,RESIDENCE MEHARI BEACH 25 AV. JEAN JAURES IMM. STB 9 ETAGE,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL RESIDENCE MEHARI BEACH,TUNIS
396150,HASSEN BEN MONGI SEDIRI AV. HABIB BOURGUIBA GHARDIMAOU JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HASSEN BEN MONGI SEDIRI,JENDOUBA
396160,CENTRE DE FORMATION PROFESSIONNELLE AGRICOLE BEN AROUS CENTRE DE FORMATION PROFESSIONNELLE AGRICOLE BEN AROUS,EDUCATION NATIONALE,ADMINISTRATION,MIN. DE LA F.P ET DE L'EMPLOI,CENTRE DE FORMATION PROFESSIONNELLE AGRICOLE BEN AROUS,BEN AROUS
396170,MINISTERE DE LA DEFENSE BASE NAVALE LA GOULETTE MINISTERE DE LA DEFENSE BASE NAVALE LA GOULETTE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,BASE NAVALE LA GOULETTE,TUNIS
396190,SOTRAMA S/S AGIL BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOTRAMA,MEDENINE
396210,ODYSSEE HOTELS ROUTE TOURISTIQUE ZARZIS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS ODYSSEE,MEDENINE
396230,SOCIETE HAMOUDA LAHBIB RUE KHEREDDINE EL ALIA BIZERTE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HAMOUDA LAHBIB,BIZERTE
396240,SOCIETE HAMOUDA LAHBIB RUE KHEREDDINE EL ALIA BIZERTE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HAMOUDA LAHBIB,BIZERTE
396280,"SOCIETE OXYGENE 10,RUE DE L'INDEPENDANCE MENZEL BOURGUIBA",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE OXYGENE,BIZERTE
396300,PRISON DES FEMMES MANNOUBA PRISON DES FEMMES AV . 2 MARS 1934 MANNOUBA,ADMINISTRATION GAZ,ADMINISTRATION,MIN.DEF.NAT.,PRISON DES FEMMES MANNOUBA,TUNIS
396310,SOCIETE TECHNOLATEX ZONE INDUSTRIELLE DE BEJA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE TECHNOLATEX,BEJA
396320,SOCIETE EL AMEL RUE NABHANA TEBOULBA ,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - MONASTIR,MONASTIR
396330,SOCIETE EL AMEL RUE NABHANA TEBOULBA MONASTIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - MONASTIR,MONASTIR
396340,SOCIETE EL AMEL RUE NABHANA TEBOULBA MONASTIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - MONASTIR,MONASTIR
396350,LYCEE SECONDAIRE ESSOMBAT EL HAMMA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE ESSOMBAT EL HAMMA,GABES
396380,RESTAURANT UNIVERSITAIRE SILIANA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE SILIANA,SILIANA
396390,SOCIETE EL AMEL RUE NABHANA TEBOULBA ,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - MONASTIR,MONASTIR
396400,SOCIETE NATILAIT SOCIETE NATILAIT ROUTE DES RUINES UTIQUE BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE NATILAIT,BIZERTE
396410,SOCIETE AYA DISTRIBUTION K. 18 CEBELET BEN AMMAR SIDI THABET ARIANA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AYA DISTRIBUTION K.,ARIANA
396430,COMMISSERIAT REGIONALE AFFAIRES FEMME . FAMILLE COMMISSERIAT REGIONALE AFFAIRES FEMMES . FAMILLE LE KEF,ADMINISTRATION GAZ,ADMINISTRATION,MIN. DE LA FEMME ET LA FAMILLE,COMMISSERIAT REGIONALE AFFAIRES FEMME,LE KEF
396440,SOCIETE AYA DISTRIBUTION K. 18 CEBELET BEN AMMAR SIDI THABET ARIANA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AYA DISTRIBUTION K.,ARIANA
396460,SOCIETE EL WIFAK DE DISTRIBUTION ZONE INDUSTRILLE ENFIDHA SOUSSE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL WIFAK DE DISTRIBUTION,SOUSSE
396470,ETS BEN ABDALLAH ET FILS AVENUE 2 MARS 1934 MAHDIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ETS BEN ABDALLAH ET FILS,MAHDIA
396500,MONGI SEDIRI CITE EZZOUHOUR GHARDIMAOU JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONGI SEDIRI,JENDOUBA
396510,ANIS KACEM STATION SERVICE AGIL CARBURATION AUTO FOUCHANA,GPL C,GPL C,GPL C,FOUCHANA,BEN AROUS
396520,MOHSEN HAMDI ZONE INDUSTRIEL ROUTE AMDOUN BEJA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHSEN HAMDI,BEJA
396530,ORDINAIRE DU 71 REGIMENT DES TRANSMISSIONS OUED ELLIL,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,ORDINAIRE DU 71 REGIMENT DES TRANSMISSIONS OUED ELLIL,ARIANA
396540,ECOLE NATIONALE DES PRISONS ET DE REEDUCATION BORJ TOUIL,ADMINISTRATION GAZ,ADMINISTRATION,MIN.JUSTICE DROITS HOMME,ECOLE NATIONALE DES PRISONS ET DE REEDUCATION BORJ TOUIL,ARIANA
396560,EL AIDI BEN SEBTI MABROUK SENED GARE Z.4 SENED GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,EL AIDI BEN SEBTI MABROUK,GAFSA
396570,SOCIETE DOUKHALI DE COMMERCE 17. RUE DE MARSEILLE TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE DOUKHALI DE COMMERCE,TUNIS
396580,RESTAURANT UNIVERSITAIRE DE SIDI BOUZID RESTAURANT UNIVERSITAIRE DE SIDI BOUZID ROUTE DE GAFSA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE DE SIDI BOUZID,SIDI BOUZID
396590,SOCIETE LAGOON HOTEL MINOTEL DJERBA RESORT ZONE TOURISTIQUE AGHIR DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL MINOTEL,MEDENINE
396600,ISET SILIANA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,ISET SILIANA,SILIANA
396610,SOCIETE DOUKHALI DE COMMERCE 17. RUE DE MARSEILLE TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE DOUKHALI DE COMMERCE,TUNIS
396620,SODIGAZ Z. INDUSTRIELLE EL BATEN KM.3 ,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SODIGAZ,KAIROUAN
396680,ALDIANA HOTEL RESORT A.H.R.C ZONE TOURISTIQUE MIDOUNE - DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL ALDIANA RESORT A.H.R.C,MEDENINE
396650,SODIGAZ Z. INDUSTRIELLE EL BATEN ,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SODIGAZ,KAIROUAN
396690,SODIGAZ Z.INDUSTRIELLE EL BATEN KM.3 KAIROUAN,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SODIGAZ,KAIROUAN
396710,LYCEE 2 MARS 1934 LE KEF,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE 2 MARS 1934 LE KEF,LE KEF
396720,HASSEN BEN HAFSIA DOUKALI MORNAG,DIVERS GAZ,DIVERS GAZ,DIVERS GAZ,HASSEN BEN HAFSIA DOUKALI,BEN AROUS
396740,SOCIETE EL AMEL ROUTE DE L'AEROPORT ,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - TOZEUR,TOZEUR
396750,SOCIETE EL RAHMA SARL 01. AVENUE HABIB BOURGUIBA KALAAT ANDALOUS ARIANA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL RAHMA SARL,ARIANA
396760,SOCIETE EL RAHMA SARL 01. AVENUE HABIB BOURGUIBA KALAAT LANDALOUS ARIANA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL RAHMA SARL,ARIANA
396770,SOCIETE DE CIMENTS D'ENFIDHA SOCIETE DE CIMENTS D'ENFIDHA RTE DE ZAGHOUAN KM.10 ENFIDHA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE DE CIMENTS D'ENFIDHA,SOUSSE
396790,HOPITAL REGIONAL ZARZIS ROUTE DE DJERBA ZARZIS,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL REGIONAL ZARZIS,MEDENINE
396830,STE NOUR PR DISTRIBUTION BOUTEILLES DE GAZ AV. HABIB BOURGUIBA EL KHRAISSIA GOUBELLAT BEJA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,STE NOUR,BEJA
396840,ECOLE PREPARATOIRE IBN ABI DHIEF HAJEB LAAYOUN KAIROUAN HAJEB LAYOUN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE IBN ABI DHIEF HAJEB LAAYOUN,KAIROUAN
396891,STATION SERVICE AGIL CARBURATION AUTO TAOUFIK JERBI S/S CARBURATION AUTO SALTNIA KM3 SFAX,GPL C,GPL C,GPL C,POUDRIERE 2 GPL,SFAX
396910,STE NOUR PR DISTRIBUTION BOUTEILLES DE GAZ AV. HABIB BOURGUIBA EL KHRAISSIA GOUBELLAT BEJA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,STE NOUR,BEJA
396940,SOCIETE FILS MOHAMED BEN AMMAR DE COMMERCE AV. DE LA LIBERTE BIR ALI BEN KHALIFA SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE FILS MOHAMED BEN AMMAR DE COMMERCE,SFAX
397000,COMPLEXE SANITAIRE DJEBEL EL OUEST,SANTE PUBLIQUE,ADMINISTRATION,MIN.SANTE PUB.,COMPLEXE SANITAIRE DJEBEL EL OUEST,ZAGHOUAN
397050,MESS DES SOUS OFFICIERS BAB SAADOUNE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,MESS DES SOUS OFFICIERS BAB SAADOUNE,TUNIS
397100,SOCIETE COMMERCIALE EL HILAL RUE ABOU KACEM CHEBBI AIN DRAHAM,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE COMMERCIALE EL HILAL ,JENDOUBA
397120,AMEN SERVICE GAZ KM1 ROUTE AEROPORT SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AMEN SERVICE GAZ,SFAX
397160,INTERNAT PRIMAIRE EL M'NAGAA ROUTE AIN ASKAR EL FAHS,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,INTERNAT PRIMAIRE EL M'NAGAA,ZAGHOUAN
397180,RESTAURANT UNIVERSITAIRE IBN RACHED GAFSA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE IBN RACHED GAFSA,GAFSA
397260,HOTEL KSAR JERID BP 201 TOZEUR,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL KSAR JERID,TOZEUR
397350,RESTAURANT UNIVERSITAIRE DE LA TECHNOPOLE DE SIDI THABET RESTAURANT UNIVERSITAIRE DE LA TECHNOPOLE SIDI THABET,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE DE LA TECHNOPOLE DE SIDI THABET,ARIANA
397360,TAHAR BADIS 2. RUE EL MANJOUR TUNIS,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,TAHAR BADIS,TUNIS
397380,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFANCE SIDI THABET,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFANCE SIDI THABET,ARIANA
397480,RESTAURANT UNIVERSITAIRE ALI BELHOUENE JENDOUBA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE ALI BELHOUENE,JENDOUBA
397530,FOYER UNIVERSITAIRE MAHMOUD EL MESSAADI JENDOUBA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER UNIVERSITAIRE MAHMOUD EL MESSAADI,JENDOUBA
397540,SOCIETE LABORATOIRE TUNISIE PHARMA 02. RUE DE L'ENERGIE CHARGUIA 1 . TUNIS,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE LABORATOIRE TUNISIE PHARMA,TUNIS
397580,SALEM BEN SALAH BAREG EL AJENGUA JEBENIANA SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SALEM BEN SALAH BAREG EL AJENGUA,SFAX
397720,SOCIETE AGIL DE GESTION SAGES AV. MOHAMED ALI AKID CITE OLYMPIQUE EL KHADRA TUNIS,GPL C,GPL C,GPL C,S. KHELIFA pk72 ,SOUSSE
397730,SOCIETE MEDDEB DES PRODUCTIONS ALIMENTAIRES (SMPA) STE MEDDEB DES PRODUCTIONS ALIMENTAIRES RUE HABIB HADDAD BEJA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE MEDDEB DES PRODUCTIONS ALIMENTAIRES (SMPA),BEJA
397740,SALEM BEN SALAH BAREG EL AJENGUA JBENIANA SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SALEM BEN SALAH BAREG EL AJENGUA,SFAX
397760,SOCIETE BOURGO CENTER IMMOBILIERE (S.B.C.I ) STE BOURGO CENTER IMMOBILIERE RTE HOUMT SOUK JERBA MIDOUN,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,SOCIETE BOURGO CENTER IMMOBILIERE (S.B.C.I ),MEDENINE
397790,NABIL BEN AHMED ZIDI ROUTE DE TUNIS Z 3 JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,NABIL BEN AHMED ZIDI,JENDOUBA
397860,SOTRAMA S/S AGIL BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOTRAMA,MEDENINE
397870,NABIL BEN AHMED ZIDI ROUTE DE TUNIS Z 3 JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,NABIL BEN AHMED ZIDI,JENDOUBA
397980,SOCIETE NEAPOLIS 22) RUE SIDI ALI AZZOUZ NABEUL,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE NEAPOLIS,NABEUL
398020,SOCIETE OULED AHMED DE DISTRIBUTION CITE EL BALAOUI KAIROUAN,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE OULED AHMED DE DISTRIBUTION,KAIROUAN
398030,SOCIETE JERBA ZARZIS GAZ RUE KHAIREDDINE TOUNSI BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE JERBA ZARZIS GAZ,MEDENINE
398040,SOCIETE JERBA ZARZIS GAZ RUE KHAIREDDINE TOUNSI BEN GUERDANE MEDENINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE JERBA ZARZIS GAZ ,MEDENINE
398080,ECOLE PRIMAIRE HENCHIR JEDID ENNADHOUR ZAGHOUAN ECOLE PRIMAIRE HENCHIR JEDID ENNADHOUR ZAGHOUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.EDUC.,ECOLE PRIMAIRE HENCHIR JEDID ENNADHOUR,ZAGHOUAN
398090,SOCIETE STRUCFLEX B.P 13 M'HAMDIA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE STRUCFLEX,BEN AROUS
398100,SOCIETE JHONEL CHEMICAL INDUSTRY STE JHONEL CHEMICAL INDUSTRY Z.I SIDI DAOUED GABES,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE JHONEL CHEMICAL INDUSTRY,GABES
398110,RESTAURANT UNIVERSITAIRE SABRA RAKADA KAIROUAN RESTAURANT UNIVERSITAIRE SABRA RAKADA C.P 3191 KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE SABRA RAKADA,KAIROUAN
398120,SOCIETE GALVAMETAL STE GALVAMETAL Z.I BOUARADA 6180 SILIANA,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE GALVAMETAL,SILIANA
398160,ETS BEN ABDALLAH ET FILS AV. 2 MARS 1934 ROUTE DE MOKNINE KSOUR ESSEF,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,ETS BEN ABDALLAH ET FILS,MAHDIA
398170,SOCIETE AICHA ET FILS 8 MED BADRA 4ET BU A14 MONTPLAISIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AICHA ET FILS,TUNIS
398180,BEN SOUF MOKHTAR S/S CARBURATION AUTO ZONE INDUSTRIELLE RTE EL MANSOURA KEBILI,GPL C,GPL C,GPL C,KEBILI (ex-GPL),KEBILI
398200,SOCIETE AICHA ET FILS 8 MED BADRA 4ET BU A14 MONTPLAISIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AICHA ET FILS,TUNIS
398210,LABORATOIRE TETRA HYGIENE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,LABORATOIRE TETRA HYGIENE,ZAGHOUAN
398220,SOCIETE SIMARBRE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE SIMARBRE,BEJA
398250,MONCEF MAROUANI S/S AGIL Z.I CITE ENNOUZHA-GAAFOUR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONCEF MAROUANI,SILIANA
398280,BRAVO HOTELS ET RESORTS ZONE TOURIS SIDI BAKOUR B.P 240 MIDOUN DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,BRAVO HOTELS ET RESORTS,MEDENINE
398290,KAMEL DINARI CITE ESSAADA METLAOUI GAFSA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,KAMEL DINARI,GAFSA
398330,KARIM AMMAR S/S GPL CARBURATION AUTO AUTO ROUTE A1 PK72 SIDI KHLIFA,GPL C,GPL C,GPL C,S. KHELIFA pk72 ,SOUSSE
398340,ECOLE PREPARATOIRE HENCHIR METHLINE HENCHIR METHLINE,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE HENCHIR METHLINE,BIZERTE
398400,MOHSEN HAMDI ZONE INDUSTRIEL ROUTE AMDOUN BEJA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHSEN HAMDI,BEJA
398440,MAHER EL GHALI 292.AV HABIB BOURGUIBA TEBOULBA MONASTIR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHER EL GHALI,MONASTIR
398550,LYCEE SECONDAIRE CHERARDA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE CHERARDA,KAIROUAN
398640,ECOLE D'APPLICATION INTER ARMEE BOUFICHA,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,ECOLE D'APPLICATION INTER ARMEE BOUFICHA,SOUSSE
398650,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFANCE RADES,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFANCE RADES,BEN AROUS
398740,HOTEL LE PETIT PALAIS ROUTE TOURISTIQUE 4116 MIDOUNE DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL LE PETIT PALAIS,MEDENINE
398750,CENTRE DE FORM. & RECYCLAGE AGRICOLE BEJA TESTOUR,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,CENTRE DE FORM. & RECYCLAGE AGRICOLE,BEJA
398780,BASE NAVALE PRINCIPALE DE BIZERTE BIZERTE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,BASE NAVALE PRINCIPALE DE BIZERTE,BIZERTE
398830,TAREK MOEDDEB RUE MSALI EL HADJ EL HAMMA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,TAREK MEDDEB,GABES
398970,SOCIETE GALION SA ROUTE DE FOUCHANA CHBEDDA NAASSEN TUNIS,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE GALION SA,BEN AROUS
399010,CITE UNIVERSITAIRE SIDI MANSOUR SFAX ROUTE SIDI MANSOUR KM 10 SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE SIDI MANSOUR,SFAX
399020,HOTEL LA PALMERAIE TOZEUR,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL LA PALMERAIE,TOZEUR
399050,HOTEL RAIS DJERBA AGHIR,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL RAIS DJERBA,MEDENINE
399270,RESTAURANT UNIVERSITAIRE ROUTE DE MEDNINE CITE EL MANARA GABES,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE,GABES
399330,SOCIETE EL AMEL ROUTE DE L'AEROPORT TOZEUR,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL AMEL - TOZEUR,TOZEUR
399371,CENTRE MILITAIRE CANIN ORDINAIRE CYNOPHILE BIZERTE,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,CENTRE MILITAIRE CANIN,BIZERTE
399390,ECOLE PREPARATOIRE 7 NOVEMBRE 1987 SAOUAF,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE 7 NOVEMBRE 1987 SAOUAF,ZAGHOUAN
399600,RESTAURANT UNIVERSITAIRE IBN ARAFA CITE ZARROUK GAFSA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,RESTAURANT UNIVERSITAIRE IBN ARAFA,GAFSA
399830,MOHAMED MNIF BP 90 SIDI ABBES SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MOHAMED MNIF,SFAX
399850,ECOLE PREPARATOIRE IBEN SINA SEMENJA SEMENJA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,ECOLE PREPARATOIRE IBEN SINA SEMENJA,ZAGHOUAN
399860,LYCEE SECONDAIRE IBEN RACHIK BIR MCHARGUA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE IBEN RACHIK BIR MCHARGUA,ZAGHOUAN
399870,LYCEE SECONDAIRE CITE NOZHA CITE NOZHA ZAGHOUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.EDUC.,LYCEE SECONDAIRE CITE NOZHA,ZAGHOUAN
399880,CENTRE DE FORMATION PROFESSIONNELLE A LA PECHE SFAX,ADMINISTRATION GAZ,ADMINISTRATION,MIN. DE LA F.P ET DE L'EMPLOI,CENTRE DE FORMATION PROFESSIONNELLE A LA PECHE SFAX,SFAX
399890,CENTRE REGIONAL DE L EDUCATION ET DE LA FORMATION CONTINUE ZAGHOUAN,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN. DE LA F.P ET DE L'EMPLOI,CENTRE REGIONAL DE L EDUCATION ET DE LA FORMATION CONTINUE ZAGHOUAN,ZAGHOUAN
399900,HAMADI BEN BRAHIM RIAHI AV HABIB BOURGUIBA GOUBELLAT,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,HAMADI RIAHI,BEJA
399910,HOPITAL EL FAHS EL FAHS,ADMINISTRATION GAZ,ADMINISTRATION,MIN.SANTE PUB.,HOPITAL EL FAHS,ZAGHOUAN
399930,DAHMANI TRABELSI AVENUE DE LA LIBERTE M'HAMDIA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,DAHMANI TRABELSI,TUNIS
