Compte ,Client ,Secteurs clients,Consolidation Client,AME
200091,CHARGUIA SERVICE CONSEIL 28 RUE 8601 Z.I.CHARGUIA B P 65,AGRICULTURE,CHARGUIA SERVICE CONSEIL                                               ,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN"
200221,S A N I B E L 71 AVENUE TAIEB M'HIRI BELVEDERE,AGRICULTURE,S  A  N  I  B  E  L                                                    ,AUTRES INDUSTRIES DIVERSES
200621,"SOCIETE MEDITERRANEENNE DU TRANSFORMATION DU LAIT ""S M T L"" Z. I. EL HENCHA",AGRICULTURE,"SOCIETE MEDITERRANEENNE DU TRANSFORMATION DU LAIT ""S M T L""",AUTRES INDUSTRIES ALIMENTAIRES
200751,SOCIETE NASR CONTRACTORS RUE OKBA IBN NEFAA Z.I. MADACASCAR,AGRICULTURE,SOCIETE NASR CONTRACTORS,HOTELLERIE
200761,COMPTOIR D'EQUIPEMENT GENERAL RTE DE TUNIS KKM 1 SFAX,AGRICULTURE,COMPTOIR D'EQUIPEMENT GENERAL,COMMERCE
200981,O T D KOUDIAT BOUSALEM,AGRICULTURE,O T D,PRODUCTION VEGETALE
201201,HAKMOUNI ABDELAZIZ 65 RUE SIDI ALI EL KARRAY SFAX,AGRICULTURE,HAKMOUNI ABDELAZIZ                                                     ,PRODUCTION VEGETALE
201211,OFFICE DES CEREALES 30 RUE ALAIN SAVARY TUNIS,AGRICULTURE,OFFICE DES CEREALES                                                    ,PRODUCTION VEGETALE
201251,ENTREPRISE GHARBI FRERES 25 AV.LOUIS BRAILLE BUREAU N`4 ETAGE 2,AGRICULTURE,ENTREPRISE GHARBI FRERES                                               ,BATIMENT ET TRAVAUX PUBLICS
201281,TEINKO 9 RUE MED ALI ANNABI TUNIS,AGRICULTURE, TEINKO                                                                 ,AUTRES INDUSTRIES TEXTILES
201401,HASSINE BATTIKH STE COSMOPROF ZONE INDUSTRIELLE DE LA GOULETTE,AGRICULTURE,HASSINE BATTIKH STE  COSMOPROF                                         ,AUTRES INDUSTRIES CHIMIQUES
201571,MR NEJIB BEN MAHMOUD BOUABDALLAH KEBILI,AGRICULTURE,MR NEJIB BEN MAHMOUD BOUABDALLAH,BATIMENT ET TRAVAUX PUBLICS
201651,STE SELECT D'ALIMENT COMPOSE ROUTE ELLOUZA HZEG,AGRICULTURE,STE SELECT D'ALIMENT COMPOSE,FILATURE ET TISSAGE
201981,S O N A P R O V AVENUE TAIEB M'HIRI MEGRINE RIADH,AGRICULTURE,S O N A P R O V,PRODUCTION VEGETALE
201982,S O N A P R O V AVENUE TAIEB M'HIRI MEGRINE RIADH,AGRICULTURE,S O N A P R O V,PRODUCTION VEGETALE
202021,S A R O S T S.A. IMM. SAADI TOUR EF EL MENZAH IV,AGRICULTURE,S A R O S T S.A.,AUTRES INDUSTRIES CHIMIQUES
202081,O T D AGRO COMBINAT GAFSA GAFSA,AGRICULTURE,O T D,PRODUCTION VEGETALE
202101,AGENCE DE MISE EN VALEUR ET DE PROMOTION CULTURELLE 20 RUE 8010 MONTPLAISIR,AGRICULTURE,AGENCE DE MISE EN VALEUR ET DE PROMOTION CULTURELLE,"AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS"
202201,"SOCIETE DIMASSI DE LOCATION DE VOITURES ROUTE MATAR KM 1,5 SFAX",AGRICULTURE,SOCIETE DIMASSI DE LOCATION DE VOITURES,COMMERCE
202261,MONTAZAH ABOU NAWES TABARKA,AGRICULTURE,MONTAZAH ABOU NAWES                                                    ,HOTELLERIE
203121,POLYCLINIQUE DE BIZERTE PLACE BOURGUIBA BIZERTE,AGRICULTURE,POLYCLINIQUE DE BIZERTE                                                ,ACTIVITES DE SANTE
203821,MED TAHAR M'HAMDI DELEGATION CEBELET OULED ASKER,AGRICULTURE,MED TAHAR M'HAMDI                                                      ,PRODUCTION VEGETALE
204071,OFFICE DE LA MARINE MARCHANDE ET DES PORTS-SOUSSE- PORT DE SOUSSE,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204101,SOCIETE ETUDE ET DEVELOPPEMENT SOUSSE NORD PORT EL KANTAOUI HAMMAM SOUSSE,AGRICULTURE, SOCIETE ETUDE ET DEVELOPPEMENT SOUSSE NORD                             ,HOTELLERIE
204271,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -ZARZIS- PORT ZARZIS,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204281,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -DIRECTION GENERALE- BATIMENT ADMINISTRATIF PORT LA GOULETTE,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204371,OFFICE DE LA MARINE MARCHANDE ET DES PORTS :TUNIS-GOULETTE PORT GOULETTE,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204401,M.H.T.I HOTEL DAR ISMAIL NOUR EL AIN 41 AVENUE KHEREDDINE PACHA TUNIS BELVEDERE,AGRICULTURE,M.H.T.I HOTEL DAR ISMAIL NOUR EL AIN                                   ,HOTELLERIE
204411,O. T. D. COMPLEXE AVICOLE RAS EL AIN MATEUR RAS EL AIN MATEUR,AGRICULTURE,O T D,PRODUCTION VEGETALE
204781,O. N. A. S. 32 RUE DE LA MONNAIE TUNIS,AGRICULTURE,O.  N.  A.  S.                                                         ,BATIMENT ET TRAVAUX PUBLICS
204831,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -BIZERTE- PORT DE BIZERTE,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204841,C O M O C A P SAHEB EL JEBEL,AGRICULTURE,C O M O C A P                                                          ,CONSERVERIES
204881,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -GABES- PORT DE GABES,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
204961,OFFICE NATIONAL DES MINES ZONE INDUSTRIEL CHARGUIA,AGRICULTURE,OFFICE NATIONAL DES MINES                                              ,MINES
205031,"SOCIETE MAGASIN GENERAL 24,AV DE FRANCE TUNIS",AGRICULTURE,SOCIETE MAGASIN GENERAL,FABRICATION D'HUILE ET DES CORPS GRAS
205151,O T D COMPLEXE AVICOLE EL KOBBA-ENNOUR BP 187 GROMBALIA,AGRICULTURE,O T D,PRODUCTION VEGETALE
205331,STE PETROSERV CATERING Z.I. MADACASCAR PORT SFAX,AGRICULTURE,STE PETROSERV CATERING,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
205401,OFFICE DE LA TOPOGRAPHIE ET DE CADASTRE 3 AVENUE MOHAMED ALI AKID CITE EL KHADRA,AGRICULTURE,OFFICE DE LA TOPOGRAPHIE ET DE CADASTRE                                ,"ACTIVITES CONSEIL,REPARATION ET ENTRETIEN"
205561,MIN DEFENSE NATIONALE SERVICE HABILLEMENT ET SUBSISTANCE LA MANOUBA,AGRICULTURE,MIN DEFENSE NATIONALE SERVICE HABILLEMENT ET SUBSISTANCE               ,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
205621,"STE DE GALVANISATION ET DE TRANSFORMATION DES METAUX ""SGTM"" Z.I.EL FAHS",AGRICULTURE," STE DE GALVANISATION ET DE TRANSFORMATION DES METAUX ""SGTM""            ",FAB.DE MATER.ET EQUIP.AGRICOLE ET INDUSTR.
205801,""" MILED ABIDA "" USINE DE TOMATE DAHMANI",AGRICULTURE,""" MILED  ABIDA "" USINE  DE  TOMATE                                     ",CONSERVERIES
206041,"SOCIETE NOUVELLE DE BOISSONS ""S.N.B."" AV.H.BOURGUIBA LA MORNAGUIA",AGRICULTURE," SOCIETE NOUVELLE DE BOISSONS ""S.N.B.""                                  ",INDUSTRIES DES BOISSONS
206051,C O G I T E L ROUE DE TUNIS KM 15 SIDI FATHALLAH SFAX,AGRICULTURE,C O G I T E L,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
206241,CLINIQUE DE DIALYSE MONTAZAH NAHLI 027 MONTAZAH NAHLI EL GHAZALA ARIANA,AGRICULTURE,CLINIQUE DE DIALYSE MONTAZAH NAHLI,ACTIVITES DE SANTE
206281,SONOCAT 111 ROUTE DU KEF KM 2 TESTOUR,AGRICULTURE, SONOCAT                                                                ,CONSERVERIES
206321,SOCIETE SEPROMEC GPN 5 KM 12 BIR DROUG,AGRICULTURE, SOCIETE SEPROMEC                                                       ,AUTRES INDUSTRIES DIVERSES
206341,S . O . A . H . C L 'UNITE 8 AVENUE HABIB BOURGUIBA,AGRICULTURE,S . O . A . H . C L 'UNITE,COMMERCE
206451,"STE QUAINCAILLERIE GENERALE DU SUD "" QUIGES "" ROUTE SALTANIA KM 5 SFAX",AGRICULTURE,"STE QUAINCAILLERIE GENERALE DU SUD "" QUIGES """,COMMERCE
206551,ABDESSALEM KHROUF MENUISIER 017 SLAHEDDINE BOUCHOUCHA NOUVELLE MEDINA,AGRICULTURE,ABDESSALEM KHROUF,COMMERCE
206611,"AMILCAR PETROLEUM OPERATIONS "" APO "" IMM. MEZGHANNI RUE DU LAC",AGRICULTURE,"AMILCAR PETROLEUM OPERATIONS "" APO ""","SIDER.METALLUR.DES NON FERREUX,FONDERIE"
206791,ENTREPRISE ZOUARI &COMPAGNIE ROUTE DE TUNIS BP N°160 Z . I AKOUDA,AGRICULTURE,ENTREPRISE ZOUARI &COMPAGNIE,COMMERCE
206861,MONCEF ZOUITER (PROPHARMA CENTRE) BP 163 RTE OUESLATIA KAIROUAN,AGRICULTURE,MONCEF ZOUITER  (PROPHARMA CENTRE)                                     ,AUTRES INDUSTRIES CHIMIQUES
207121,"SOCIETE TUNISIENNE DES BOISSONS DU CENTRE ""S.T.B.C."" AVENUE HABIB THAMEUR SOUSSE",AGRICULTURE," SOCIETE TUNISIENNE DES BOISSONS DU CENTRE ""S.T.B.C.""                   ",INDUSTRIES DES BOISSONS
207271,O T D T A K E L S A TAKELSA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207331,O T D ENNOUR GROMBALIA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207411,O T D GHEZALA MATEUR HACHED,AGRICULTURE,O T D,PRODUCTION VEGETALE
207461,O T D RAMLIA SILIANA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207462,O T D RAMLIA SILIANA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207481,O T D BADROUNA BOU SALEM,AGRICULTURE,O T D,PRODUCTION VEGETALE
207481,OTD BADROUNA BOU SALEM,AGRICULTURE,O T D,PRODUCTION VEGETALE
207491,O T D CHEMTOU OUED MLIZ,AGRICULTURE,O T D,PRODUCTION VEGETALE
207511,O T D ENFIDHA ENFIDHA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207531,O T D CHAAL CHAAL SFAX,AGRICULTURE,O T D,PRODUCTION VEGETALE
207541,O T D ESSALAMA RTE DE SBEITLA MENZEL CHAKER SFAX,AGRICULTURE,O T D,PRODUCTION VEGETALE
207551,O T D BOUZOUITA MENZEL CHAKER,AGRICULTURE,O T D,PRODUCTION VEGETALE
207571,O T D BIR ALI BEN KHELIFA BIR ALI BEN KHELIFA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207591,O T D OUED EDDARB KASSERINE,AGRICULTURE,O T D,PRODUCTION VEGETALE
207601,O T D EL KHADRA SBEITLA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207621,O T D TOUILA SIDI BOUZID,AGRICULTURE,O T D,PRODUCTION VEGETALE
207631,O T D EL ALEM LA SBIKHA,AGRICULTURE,O T D,PRODUCTION VEGETALE
207701,O T D SIDI CHAMAKH ZARZIS,AGRICULTURE,O T D,PRODUCTION VEGETALE
207722,S T A M 19 AVENUE DE LA REPUBLIQUE TUNIS,AGRICULTURE,S T A M                                                                ,ACTIVITES AUXILIERES AU TRANSPORT
207723,S T A M 19 AVENUE DE LA REPUBLIQUE TUNIS,AGRICULTURE,S T A M                                                                ,ACTIVITES AUXILIERES AU TRANSPORT
207724,S T A M 19 AVENUE DE LA REPUBLIQUE TUNIS,AGRICULTURE,S T A M                                                                ,ACTIVITES AUXILIERES AU TRANSPORT
207726,S T A M 19 AVENUE DE LA REPUBLIQUE TUNIS,AGRICULTURE,S T A M                                                                ,ACTIVITES AUXILIERES AU TRANSPORT
207801,"CHARFEDDINE RATEL ET COMPAGNIE ""CRC"" BP121 IMM RATEL CITE MANARA GABES",AGRICULTURE,"CHARFEDDINE  RATEL ET COMPAGNIE ""CRC""                                  ",BATIMENT ET TRAVAUX PUBLICS
208051,U T H I N A CHEMICAL INDUSTRIES BIR M'CHERGUA GARE,AGRICULTURE,U T H I N A CHEMICAL INDUSTRIES,AUTRES INDUSTRIES CHIMIQUES
208121,O T D FERME PILOTE EL ATIZEZ MENZEL BOUZAIENE,AGRICULTURE,O T D,PRODUCTION VEGETALE
208131,"GROUPEMENT INTERPROFESSIONNEL DES LEGUMES ""G I L "" 1 RUE IBN RACHIQ LE BELVEDERE TUNIS",AGRICULTURE,"GROUPEMENT INTERPROFESSIONNEL DES LEGUMES ""G I L ""                     ",PRODUCTION VEGETALE
208161,OFFICE DE LA MARINE MARCHANDE ET DES PORTS -SFAX- PORT DE SFAX,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
208231,O T D EL INTILAKA BENI KHALLED (VERS KORBA) KM3,AGRICULTURE,O T D,PRODUCTION VEGETALE
208241,O T D MOHSEN LIMAM EL KRIB,AGRICULTURE,O T D,PRODUCTION VEGETALE
208311,S E C A D E N O R D NAASSEN,AGRICULTURE,S E C A D E N O R D,TRANSPORT ROUTIER PARTICULIER (NON MARCH.)
208331,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208331,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208332,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208333,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208333,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208334,S O N E D E 23 AVENUE JAWHAR LEL NAHRU MONTFLEURY,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208334,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208335,S O N E D E AVENUE SLIMEN BEN SLIMENE EL MANAR 2,AGRICULTURE,S O N E D E,PRODUCTION ET DISTRIBUTION D'EAU
208421,GROUPEMENT DE DISTRIBUTION DE PRESS DISPRESS 23 RUE DU YEMEN TUNIS,AGRICULTURE,GROUPEMENT DE DISTRIBUTION DE PRESS DISPRESS,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
208441,O T D EL KHAYEM-HACHED BP N:6 BELLI GARE GROMBALIA,AGRICULTURE,O T D,PRODUCTION VEGETALE
208491,"ENTREPRISE TUNISIENNE D'ACTIVITE PETROLIERE ""E T A P "" 27 BIS AV KHERREDDINE PACHA TUNIS",AGRICULTURE,"ENTREPRISE TUNISIENNE D'ACTIVITE PETROLIERE ""E T A P """,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
208621,MR FAICEL BEN ZINA 15 RUE DE JEDDAH TUNIS,AGRICULTURE,MR FAICEL BEN ZINA                                                     ,PRODUCTION VEGETALE
208651,HERITIERS HADJ MOHAMED BEN BOUJEMAA OUNI 22 RUE HABIB HADDAD BEJA,AGRICULTURE,HERITIERS HADJ MOHAMED BEN BOUJEMAA OUNI                               ,PRODUCTION VEGETALE
208801,O T D BORJ EL AMRI BORDJ EL AMRI,AGRICULTURE,O T D,PRODUCTION VEGETALE
208981,OFFICE DE LA MARINE MARCHANDE ET DES PORTS-RADES- PORT DE RADES,AGRICULTURE,OFFICE DE LA MARINE MARCHANDE ET DES PORTS,ACTIVITES AUXILIERES AU TRANSPORT
209101,SOCIETE SODAC 24 RUE BEN SANIOUR TUNIS,AGRICULTURE, SOCIETE SODAC                                                          ,PRODUCTION VEGETALE
209301,M. B. G. RTE KHENIS KM 2.5 Z.I. MONASTIR B P 207,AGRICULTURE,M. B. G.,"SIDER.METALLUR.DES NON FERREUX,FONDERIE"
209441,COOPERATIVE CENTRALE OLEICOLE 46.AV HABIB BOURGUIBA TUNIS,AGRICULTURE,COOPERATIVE CENTRALE OLEICOLE                                          ,FABRICATION D'HUILE ET DES CORPS GRAS
209471,"LA SOCIETE OASIS "" GROUPE POULINA "" ROUTE DE SOUSSE KM 12 EZZAHRA",AGRICULTURE,"LA SOCIETE OASIS "" GROUPE POULINA """,COMMERCE
209551,CONSERVES MAJOUL DELICIEUSE 38 RUE D'ESPAGNE TUNIS,AGRICULTURE,CONSERVES MAJOUL DELICIEUSE                                            ,CONSERVERIES
209641,GASS INTERNATIONAL TRADING 16 RUE MOHAMED JAMOUSSI BARDO,AGRICULTURE,GASS INTERNATIONAL TRADING,COMMERCE
209662,DAR  ANWAR 25 AVENUE JEAN JAURES  TUNIS,AGRICULTURE,DAR  ANWAR,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
209671,LAGHA RIDHA DISTRIBUTEUR DE GAZ SISI DAOUED GABES,AGRICULTURE,LAGHA RIDHA DISTRIBUTEUR DE GAZ,COMMERCE
209841,CIETE FIORE KM 1 ROUTE AZMOUR MENZEL TEMIME,AGRICULTURE,SOCIETE FIORE,"AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS"
209911,COMPLEXE AVICOLE ENFIDHA ENFIDHA,AGRICULTURE,COMPLEXE AVICOLE ENFIDHA                                               ,PRODUCTION VEGETALE
210021,SOCIETE STUPREMAT RUE CHIMIE N° 32 SIDI REZIG MEGRINE,AGRICULTURE,SOCIETE STUPREMAT,COMMERCE
210051,AGENCE TAP RUE SLIMEN B. SLIMEN EL MANAR 2 TUNIS,AGRICULTURE,AGENCE TAP,FABRICATION D'ENGRAIE HEXENORE DRT TIMBRE
210061,OFFICE NATIONAL DE L'ARTISANAT DEN DEN,AGRICULTURE,OFFICE NATIONAL DE L'ARTISANAT,COMMERCE
210111,O T D THIBAR THIBAR,AGRICULTURE,O T D,PRODUCTION VEGETALE
210211,O T D AGROCOMBINAT BONNE ENTENTE GAFSA,AGRICULTURE,O T D,PRODUCTION VEGETALE
210251,SOCIETE EL AMAL METLAOUI,AGRICULTURE,SOCIETE EL AMAL,COMMERCE
210361,"SOCIETE CAP CARTHAGE ROUTE RAS JDIR KM2,5 BEN GUERDANE",AGRICULTURE, SOCIETE CAP CARTHAGE                                                   ,CONSERVERIES
210471,PETROFAC ENERGY DEVELOPMENTS RUE LAC LEMAN LES BERGES DU LAC,AGRICULTURE,PETROFAC ENERGY DEVELOPMENTS,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
210621,ETABLISSEMENT ABDELALI KM 6 RTE DE SOUSSE MEGRINE,AGRICULTURE,ETABLISSEMENT ABDELALI                                                 ,COMMERCE
210741,STE ECOFISH ROUTE ZARZIS KM 10 BEN GUERDENE,AGRICULTURE, STE ECOFISH                                                            ,AUTRES INDUSTRIES ALIMENTAIRES
210811,SOCIETE FLECHE COMMERCIALE RUE 18 JANVIER 1952 IMMEUBLE BLEGUI BEJA,AGRICULTURE, SOCIETE FLECHE COMMERCIALE                                             ,COMMERCE
210941,SOCIETE M'NARA AGRICULTURE EL M'NARA NASRALLAH,AGRICULTURE, SOCIETE M'NARA AGRICULTURE                                             ,PRODUCTION VEGETALE
210981,SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE -EDHRAA 1- 41 AV KHEREDDINE PACHA TUNIS,AGRICULTURE, SOCIETE DE MISE EN VALEUR ET DE DEVELOPPEMENT AGRICOLE,PRODUCTION VEGETALE
211051,STE GREATWALL DRILLING COMPANY AFRICA LOGISTICS ZONE FRANCHE ZARZIS,AGRICULTURE,STE GREATWALL DRILLING COMPANY AFRICA LOGISTICS,AUTRES INDUSTRIES DIVERSES
211101,SOCIETE TUNISIENNE DES VIANDES 55 AV F . ROOSEVELT LA GOULETTE,AGRICULTURE, SOCIETE TUNISIENNE DES VIANDES                                         ,AUTRES INDUSTRIES ALIMENTAIRES
211141,"INDUSTRIES AGROALIMENTAIRES ABID ""I2A"" 23 RUE ALI BELHOUANE KAIROUAN",AGRICULTURE,"INDUSTRIES AGROALIMENTAIRES ABID ""I2A""                                 ",AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
211241,S I C E M TATAOUINE,AGRICULTURE,S I C E M,COMMERCE
211251,P E T R O - S E R V I C E S 5 AV.TAHAR BEN AMMAR MANAR II,AGRICULTURE,P E T R O - S E R V I C E S,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211281,V I P P LAVORI SPA TUNISIAN BRANCH CITE LES PINS RES.BAIE DU LAC LOT 344 LAC 2,AGRICULTURE, V I P P  LAVORI  SPA TUNISIAN BRANCH                                   ,BATIMENT ET TRAVAUX PUBLICS
211351,HOTEL RESIDENCE HAMMAMET 72 AV HABIB BOURGUIBA HAMMAMET,AGRICULTURE,HOTEL RESIDENCE HAMMAMET                                               ,HOTELLERIE
211381,M A N Z I N I COMMUNICATION Z.I. ZARZOUNA,AGRICULTURE,M A N Z I N I    COMMUNICATION                                         ,AUTRES INDUSTRIES TEXTILES
211401,SOCIETE HAJER VOYAGES ROUTE CHENINI KM 2 TATAOUINE,AGRICULTURE, SOCIETE HAJER VOYAGES                                                  ,TRANSPORT ROUTIER MARCHANDISE
211511,STE FOUDHAILI TOURS AV. 02 MARS 1934 TATAOUINE,AGRICULTURE,STE FOUDHAILI TOURS,AUTRES INDUSTRIES MECANIQUES + ELECTRIQUES
211711,CLEAN LAUNDRY GROUP SARL APP.28 LOT BAROUNI NADHOR BIZERTE,AGRICULTURE,CLEAN LAUNDRY GROUP  SARL                                              ,AUTRES INDUSTRIES TEXTILES
211801,"S . M .V .D . A ""ENNOUR"" 108 RUE DE PALESTINE TUNIS",AGRICULTURE,S.M.V.D.A.,PRODUCTION VEGETALE
211841,MR NACEUR BEN MED MESSAADI RUE DE MONASTIR TAZARKA NABEUL,AGRICULTURE,MR NACEUR BEN MED MESSAADI,BATIMENT ET TRAVAUX PUBLICS
211851,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211851,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211851,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211852,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211852,M A R E T A P RUE DU LAC WINDERMERE LES BERGES DU LAC,AGRICULTURE,M A R E T A P,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
211861,"C S C E C ""PROJET HOPITAL DE SFAX"" CEINTURE 11 SFAX",AGRICULTURE,"C S C E C ""PROJET HOPITAL DE SFAX""",AUTRES INDUSTRIES CHIMIQUES
211901,SOCIETE GENERALE DES BOISSONS ZONE IND. SIDI BOUZID,AGRICULTURE,SOCIETE GENERALE DES BOISSONS,"INDUSTRIES SUCRE,CONFISERIE,CHOCOLATERIE"
211931,C N S S POLYCLINIQUE SFAX DEBUT ROUTE DE GREMDA SFAX,AGRICULTURE,C N S S POLYCLINIQUE SFAX,ACTIVITES DE SANTE
211961,B. T. I. CARREAUX SARL 17 RUE KAAB IBN MALEK EL MENZAH 6,AGRICULTURE,B. T. I. CARREAUX SARL,DIVERS
212341,SICODEL RUE 13005 Z.I. KSAR SAID,AGRICULTURE, SICODEL                                                                ,AUTRES INDUSTRIES TEXTILES
212531,S E N D R A P Z.I BIR EL KASSAA RTE DE NAASSEN,AGRICULTURE,S E N D R A P                                                          ,AUTRES INDUSTRIES TEXTILES
212531,SOCIETE PROMOTEX INDUSTRIE SARL Z.I BIR EL KASSAA RTE DE NAASSEN,AGRICULTURE, S E N D R A P                                                          ,AUTRES INDUSTRIES TEXTILES
212681,SOCIETE HANNECARD TUNISIE BP 77 Z.I. ZAGHOUAN,AGRICULTURE, SOCIETE HANNECARD TUNISIE                                              ,COMMERCE
212711,S M V D A NOUR S.A. 24 RUE DU MERCURE Z.I. BEN AROUS,AGRICULTURE,S.M.V.D.A.,PRODUCTION VEGETALE
212761,"SOCIETE DE STOCKAGE DE CARBURANTS AVIATION S.A. ""SSCA"" AV.MED ALI AKID CITE OLYMPIQUE",AGRICULTURE,"SOCIETE DE STOCKAGE DE CARBURANTS AVIATION S.A. ""SSCA""             ",EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
212831,BRIQUETERIE MODERNE EL AMAL Z. I. HERGLA,AGRICULTURE,BRIQUETERIE MODERNE EL AMAL                                            ,BATIMENT ET TRAVAUX PUBLICS
213651,C O S M A C 79 AV. DES MARTHYRS SFAX,AGRICULTURE,C O S M A C,COMMERCE
213691,SANI SUD RTE GABES KM 1.5 SFAX,AGRICULTURE, SANI  SUD                                                              ,COMMERCE
213741,AMBASSADE DES ETATS UNIS D'AMERIQUE LES BERGES DU LAC,AGRICULTURE,AMBASSADE DES ETATS UNIS D'AMERIQUE,"AUTRES ACTIV.SOCIAUX,CULTURELS,RECREATIFS"
213831,LUBRIFIANTS DE TUNISIE IMM ENNOUZHA 2 RUE 8301 MONTPLAISIR,AGRICULTURE,LUBRIFIANTS DE TUNISIE                                                 ,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
213831,LUBRIFIANTS DE TUNISIE IMM ENNOUZHA 2 RUE 8301 MONTPLAISIR,AGRICULTURE,LUBRIFIANTS DE TUNISIE                                                 ,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
213831,LUBRIFIANTS DE TUNISIE IMM ENNOUZHA 2 RUE 8301 MONTPLAISIR,AGRICULTURE,LUBRIFIANTS DE TUNISIE                                                 ,EXTRAC.ET RAFFINAGE DE PETROLE ET PROD.GAZ
214241,S O G E M A C RTE DE METLINE KM 2 RAS JEBEL,AGRICULTURE,S  O  G  E  M  A  C                                                    ,COMMERCE
214281,ENTREPRISES YOUSSEF EL TAIEF (BUREAU SOUSSE) RUE JAZIA EL HILALIA SOUSSE,AGRICULTURE,ENTREPRISES  YOUSSEF EL TAIEF,BATIMENT ET TRAVAUX PUBLICS
214371,CHAKER DHAOUI BEN BELGACEM 34 AV. DE LA REPUBLIQUE SIDI BOUZID,AGRICULTURE,CHAKER DHAOUI BEN BELGACEM                                             ,COMMERCE
214551,GRAND MAGASIN ROUTE SIDI SALEM N° 83 SIDI BOUZID,AGRICULTURE,GRAND MAGASIN,FAB.DU PAPIER DE L'IMPRIMERIE ET EDITION
