Compte ,Client ,Secteurs clients,Consolidation Client,AME
567462,MIN.INTER.DEV.LOC.COMMUNE DE ZAGHOUAN,ADMINISTRATION,COMMUNE DE ZAGHOUAN                        ,MIN.INTER.DEV.LOC.
567471,MIN.DOM.ETAT AFF.FONC.D. A. A. F.,ADMINISTRATION,D. A. A. F.                                   ,MIN.DOM.ETAT AFF.FONC.
567482,MIN.ENS.SUP.RECH.SC.TECH.CITE UNIVERSITAIRE KHEIREDDINE TOUNSI,ADMINISTRATION,CITE UNIVERSITAIRE KHEIREDDINE TOUNSI,MIN.ENS.SUP.RECH.SC.
567492,MIN.EDUC.FORM.LYCEE TECH.DU KRAM,ADMINISTRATION,LYCEE TECH.DU KRAM,MIN.EDUC.
567502,MIN.EDUC.FORM.LYCEE TEBOURBA,ADMINISTRATION,LYCEE TEBOURBA,MIN.EDUC.
567512,MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIV.CHAOUKI,ADMINISTRATION,FOYER UNIV.CHAOUKI,MIN.ENS.SUP.RECH.SC.
567522,MIN.DEF.NAT.CENTRE MILITAIRE TRANSFUSION SANGUINE,ADMINISTRATION,CENTRE MILITAIRE TRANSFUSION SANGUINE,MIN.DEF.NAT.
567532,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUPER. D'HISTOIRE DU MOUVEMENT NAT,ADMINISTRATION,INSTITUT SUPER. D'HISTOIRE DU MOUVEMENT NAT,MIN.ENS.SUP.RECH.SC.
567542,MIN.EDUC.FORM.CITE DES SCIENCESS,ADMINISTRATION,CITE DES SCIENCESS,MIN.EDUC.
567552,PREMIER MINISTERECONSEIL CONSTITUTIONNEL,ADMINISTRATION,CONSEIL CONSTITUTIONNEL,PREMIER MINISTERE
567562,MIN.INTER. HOPITAL DES FORCES DE SECURITE INTERIEUR,ADMINISTRATION,HOPITAL DES FORCES DE SECURITE INTERIEUR,MIN.INTER.DEV.LOC.
567572,MIN.INTER.DEV.LOC.COMMUNE  ZRIBA,ADMINISTRATION,COMMUNE  ZRIBA                             ,MIN.INTER.DEV.LOC.
567592,MIN.JUSTICE DROITS HOMMEOFFICE DE LOGEMENT DES MAGISTRAS ET DU PERS,ADMINISTRATION,OFFICE DE LOGEMENT DES MAGISTRAS ET DU PERS,MIN.JUSTICE DROITS HOMME
567602,MIN.INTER.DEV.LOC.COMMUNE DE BOUARGOUB,ADMINISTRATION,COMMUNE DE BOUARGOUB                       ,MIN.INTER.DEV.LOC.
567612,MIN.INTER.DEV.LOC.MUTUELLE DES PERSONNELS DE LA SURETE NLE.,ADMINISTRATION,MUTUELLE DES PERSONNELS DE LA SURETE NLE.,MIN.INTER.DEV.LOC.
567622,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT PREP.ETUDES SC.TECH.,ADMINISTRATION,INSTITUT PREP.ETUDES SC.TECH.,MIN.ENS.SUP.RECH.SC.
567632,MIN.INTER.DEV.LOC.COMMUNE DE HAMMAM CHATT,ADMINISTRATION,COMMUNE DE HAMMAM CHATT                    ,MIN.INTER.DEV.LOC.
567642,MIN.ENS.SUP.RECH.SC.TECH.CITE UNIV.EL MOUROUJ III,ADMINISTRATION,CITE UNIV.EL MOUROUJ III,MIN.ENS.SUP.RECH.SC.
567652,MIN.INTER.DEV.LOC.COMMUNE DE BIR MCHERGUA,ADMINISTRATION,COMMUNE DE BIR MCHERGUA                    ,MIN.INTER.DEV.LOC.
