Compte ,Client ,Secteurs clients,Consolidation Client,Type Clients
245010,"NAUTILUS AVIATION S.p.a Via Francesco Crispi N? 274, 90139, Palermo, Italy",AUTRES CLIENTS ETRANGERS,NAUTILUS AVIATION S.p.a,AUTRES CLIENTS ETRANGERS
245030,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245031,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245032,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245033,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245034,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245035,"BP MARKETING EGYPTE LLC 14 Road 252, Digla, Maadi, Cairo, Arab Republic of Egypt ",INTERMEDIAIRES,BP MARKETING EGYPTE,INTERMEDIAIRES
245050,"AFRIQIYAH AIRWAYS WAHA BUILDING, OMER ALMOKHTAR ST., P.O.BOX 83428, TRIPOLI, LIBYA ",AUTRES CLIENTS ETRANGERS,AFRIQIYAH AIRWAYS,AUTRES CLIENTS ETRANGERS
245060,"LLC NORD WIND Airport Sheremetyevo, Terminal C, 5th floor, Moscow, 141400, Russia",AUTRES CLIENTS ETRANGERS,LLC NORD WIND,AUTRES CLIENTS ETRANGERS
245070,"JORDAN AVIATION KING FAISAL BIN ABDELAZIZ STREET, UM OTHAINA, AMMAN, JORDAN ",AUTRES CLIENTS ETRANGERS,JORDAN AVIATION KING,AUTRES CLIENTS ETRANGERS
245081,"YASSINE MARINE SERVICES - Y.M.S 89 Av. Habib Bourguiba, Ariana Palace, Ariana ",AUTRES CLIENTS TUNISIENS,YASSINE MARINE SERVICES,AUTRES CLIENTS TUNISIENS
